Data,Label
"You probably meant FOSSEE Laptop(Netbook). You have posted in wrong category. I won't say its normal, but most of the FOSSEE Laptop chargers make a constant noise during charging. ",Not Spam
"Hi,Thanks for pointing out mistake. Recently we updated eSim windows installer and we forgot to add .bat and .exe file.You can manually open eSim from your command terminal.1. cd  c:\\eSim\\src\\frontEnd2. python Application.py",Not Spam
Please get an replacement if mouse pad any issues. LAN should work with default 'student' user. If you create a new user then you have to use  instructions from FAQ http://laptop.fossee.in/faqs to enable internet. ,Not Spam
Flashplayer doesn't work on ARM Linux devices. The video in web-browser is choppy as it lacks necessary drivers. ,Not Spam
Please report through email. ,Not Spam
The default FOSSEE Laptop password for 'student' login is 'student'(without quotes).If you changed the password and forgot then you may login as 'root' user and change your 'student' password. Use Cnt + Alt + f1Login name: rootPassword: studentThen you may run following command:   passwd student,Not Spam
"Hi,We have updated eSim windows installer. Please download it from http://esim.fossee.in/downloadsDo let me know if you get any error while installing eSim.Thanks",Not Spam
"Hi Jonathan,Kicad has lots of library and all of them can't be simulate using ngspice hence we  have created our own library in Kicad which can be simulated.While drawing schematic please make sure to take the components from esim's library. The library starts with name esim_* .About your second queries,yes you have to run it as administrator to set the PATH properly.Let me check about HKLM and  HKCU. I think you are right we don't have to run it as administrator.",Not Spam
"Not an error as such, but with all of the various dialogue boxes put up by the dependencies' installers, the eSim installer could happily  lose the ""Installing <dependency>"" dialogue boxes :)",Not Spam
"Hi,Please do not use vplot_8. This facility has been removed from eSim. In eSim you can plot the voltage at any node from interactive plotting.",Not Spam
"Hii,There is no APR33A3 ic in eSim. You have create it using library editor and footprint editor for pcb designing  of the circuit.",Not Spam
"Hello Sameer,Can you send us that example, so we can check what error you are facing.",Not Spam
"hi,You can follow below check list before installing eSim.\r\n1.\r\nIf you have anti-virus in your machine then please disable it before\r\ninstalling eSim.\r\n\r\n\r\n2. Make\r\nsure you run the installation script as administrator. You can\r\ndo that\r\nby right clicking installation script and run it as administrator.\r\n\r\n\r\n3.\r\nBy default the eSim is installed in C:\\ so you can manually go to the\r\nlocation\r\nC:\\eSim\\src\\frontEnd\\ and type the following command.\r\n\r\n\r\npython\r\nApplication.py\r\n\r\n\r\n\t\r\n\t\r\n\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nIt\r\nhas been seen that most of the time the issue gets resolved if you do\r\nthe 2nd steps i.e run the installer script as administrator.",Not Spam
"hi,you can follow below check list before installing eSim.1. If you have any anti-virus in your machine then please disable it before installing eSim.2. Make sure you run installation script as administrator. You can do that by right clicking installation script and run it as administrator.3. By default eSim is installed in C:\\\\ so can manually go to the location C:\\\\eSim\\\\src\\\\frontEND\\\\ and type following command:python Application.pyIt has been seen that most of time issue gets resolved if you do the 2nd steps i.e run the installer script as administrator.",Not Spam
"Hi Sameer,If you want to plot branch current then you can directly use python plotting window to plot branch current.If you want to do it in NgSpice window then you can use below command.1. This will plot all the branch current in your circuit.      plot alli        2. Also if you want to measure a current from any specific branch then you use        plot i(v1)        where v1 is voltage source of that branch.3. If the branch do not contain any voltage source then you can add any dc voltage source of 0 value and then plot current with command given in 2nd point.Hope this answer your questionThanks.",Not Spam
"Hi ,You can't measure resistance in eSim. You can measure only voltage and current.",Not Spam
"hi,Just change the polarity of 0V dc source which you used for measuring current. ",Not Spam
"Hii,we have answered earlier, you can't measure resistance in eSim. ",Not Spam
Go to Menu -> Preferences -> Power Manager -> On AC / On Battery -> Monitor tab -> Change Brightness / Monitor,Not Spam
"Hi,To plot voltage vs current, you can use following command in ngspice terminal-plot v(node name) vs i(branch current)eg: plot v(out) vs i(v_iout1)For more ngspice commands go to this link - http://esim.fossee.in/ngspicecmd",Not Spam
"Hi,can you send me that example, so i can check that issue.",Not Spam
"Hi,You have to give some source details value, if you keep blank then it takes as 0v dc source. You also have to use proper diode model to get expected values. I have tried your example it gives me linear graph using diode model D1N750.",Not Spam
"Hi following are the answers to your questions.1. DWSIM is a steady simulation solver.2. Yes, one can obtain stream wise material and energy balance report. Just click on the Results menu and click on build report, after that DWSIM will ask which all streams and stream properties you want in your report. The generated report will be in .pdf format.Regards,Rahul",Not Spam
"Hi,Please make sure that you have not enter any space in your project name. So for example if you are using project name as ""Bridge Rectifier"" (without quotes) then it won't work as it contain space in between name. Instead you can use ""BridgeRectifier"" (without quotes).If it doesn't solve your problem then please check whether your project path contain any space in between.To be on safer side , you can use the default esim-worspace where all your project files will be stored.Do let us know if you still face the same issue.",Not Spam
"Hi,Were you able to install it properly ? Can you please let us know the exact error you are getting ? This will help us to find the proper solution.",Not Spam
"hi,Please check that esim libraries are present or not. If not then go to Preferences ---> Set Active Libraries ---> ADD.where you can add all esim libraries. ",Not Spam
"Dear Mazhar,Thank you for contacting the Osdag team. For your kind information, Osdag (Open Steel Design and Graphics) is a steel design software. The spoken tutorials is not available for this softwares as it is still in development phase, and will be available soon.Regards,Osdag Team",Not Spam
Thanks or answering my question. I'm from electronics field. I'll recommend the same to my friends.,Not Spam
"Hi,These forum is solve only technical queries. For workshop, Lab Migration and TBC related inquiry please drop a mail at contact-esim@fossee.in  Thanks  ",Not Spam
"Hi,Use ic UA741 from eSim_subckt from component list, then add subckt while converting to ki->ng in subckt tab.",Not Spam
It is very easy to draw the 2D plot. There are simple commands for this purpose.You have to use the plot command and the your variable in the braces with this.In one plot command mention the both variables which are voltage and current in your case.In those variables you must store the same length of the values for two dimension plot.,Not Spam
"Hii,You have to use place global label which is present in right hand side toolbar of schematic editor window and then assign as input and output. After this generate netlist and you check the output. ",Not Spam
"Hi,1. You have to generate spice netlist as Default format after assigning the in/out labels.2. For half adder, close the esim then again run the example any try.",Not Spam
Gaurav_Supal thank u .. now i can find all libraries,Not Spam
Thank you,Not Spam
Hello! Here are the ways can help you create a WiFi hotspot in Windows laptop: http://goo.gl/Zm3erU,Not Spam
"Hi,While installing eSim setup please make sure you run it as administrator.You can get this option after right clicking setup file. Hope this answered your question.",Not Spam
"Hello Kavya,The left pane in footprint editor contains all the footprints of the components and right pane contains the selected component footprints. The middle pane contains the components which are used in schematic. You have to select proper footprint for the component in schematic. There are 3 component icons in tool bar to list footprint in right pane.Note :  Creating PCB designing in eSim is similar to PCB designing in Kicad. ",Not Spam
"Hi Aravind,Unfortunately these compounds are not available in the databases supported by DWSIM. You will have to create these compounds by using the Compound Creator Study, facility available in DWSIM. You will have to provide various physical properties of the new compound which you want to add. You can get these properties from literature.Regards,Rahul Jain.",Not Spam
You have to install Scilab Wavelet Toolbox from Atoms. You will find this toolbox under Signal Processing category. All the functions you have mentioned are available in the toolbox.,Not Spam
You may contact the supplier at http://myvidyut.com/contact/. ,Not Spam
"Hi Parvesh,Please go through the guidelines(point 5) mentioned in the link below. It will address your query.http://scilab.in/guidelines-codingRegards,Lavita",Not Spam
Thanks Lavita ,Not Spam
Use radius in solution and mention the reason as comment in the Scilab code.,Not Spam
"Hi Manik,I hope the issue is resolved by now.Regards,Rahul Jain",Not Spam
Offline Wikipedia is possible with Kiwix. You may follow the instructions given in the README.rst file from this link [http://www.it.iitb.ac.in/AakashApps/repo/netbook/offline-wiki/],Not Spam
"It is possible to display the output in table format.See the below example:----------------------------------------------------------------------------------------------------------------------------// Include an editable table into a figure:// Building a table of data:params = ["" "" ""Country"" ""Population [Mh]"" ""Temp.[\xc2\xb0C]"" ];towns = [""Mexico"" ""Paris"" ""Tokyo"" ""Singapour""]';country = [""Mexico"" ""France"" ""Japan"" ""Singapour""]';pop  = string([22.41 11.77 33.41 4.24]');temp = string([26 19 22 17]');table = [params; [ towns country pop temp ]]f = gcf();clfas = f.axes_size;  // [width height]ut = uicontrol(""style"",""table"",..               ""string"",table,..               ""position"",[5 as(2)-100 300 87],.. // => @top left corner of figure               ""tooltipstring"",""Data from majors towns"")// Modify by hand some values in the table. Then get them back from the ui:matrix(ut.string,size(table))---------------------------------------------------------------------------------------------------------------------------------Type 'help table' on the Scilab console to read the documentation. ",Not Spam
"Hi,The instruction is written in INSTALL file.You can also look at the blog http://esim.fossee.in/blog on  ""Installing eSim in Ubuntu"".Do let us know if you are unable to install it.",Not Spam
You may try webm(vp8) encoding. It works for me. ,Not Spam
"Hello Sameer,Did you get a solution for this problem. I am also facing the same problem.Best regards,Arup.",Not Spam
"Hii,You have given wrong Reference and field value. Please dont give reference value just fill the field as 1k or 1u for resistor and capacitor then annotate it. Please follow user manual for more details.",Not Spam
"Sir,Thank you for your prompt answer. The simulation is now working without any error.Best regards,Arup Baruah.",Not Spam
"Hi,Please make sure you enter the proper analysis value. In your example, you are running the transient analysis for zero time. Please correct it with some proper time.Do let us know if you still face an error ",Not Spam
"Hi,Please see the answer at http://forums.fossee.in/question/72/simulation-of-basic-logic-gates/",Not Spam
"Hi,Please see the answer at http://forums.fossee.in/question/72/simulation-of-basic-logic-gates/",Not Spam
"Hi,We have not tested eSim on eswecha. Did you get any error while installing eSim ?",Not Spam
"Hi,Please follow the answer at http://forums.fossee.in/question/75/unable-to-install-e-sim-on-linux/#answer100",Not Spam
"Sir,Thank you for your prompt reply. I have modified the values for the analysis as below:Start Time: 0 secStep Time: 1 secStop Time: 10 secBut the simulation is still failing with the same error message. Attached is the .cir.out and .cir file. We will be very grateful if you kindly tell us what the problem is.Best regards,Arup Baruah..cir.out file:* /home/abaruah/work/esim/workspace/test06/test06.cir* u1  net-_u1-pad1_ gnd d_inverterv1  net-_u1-pad1_ gnd pulse(0 1 0 0 0 1 1)a1 net-_u1-pad1_ gnd u1* Schematic Name: d_inverter, NgSpice Name: d_inverter.model u1 d_inverter(fall_delay=1.0e-9 input_load=1.0e-12 rise_delay=1.0e-9 ) .tran 1e-00 10e-00 0e-00* Control Statements .controlrunprint allv > plot_data_v.txtprint alli > plot_data_i.txt.endc.end.cir file:* /home/abaruah/Work/eSim/Workspace/Test06/Test06.cir* EESchema Netlist Version 1.1 (Spice format) creation date: Mon Jan 18 12:57:10 2016* To exclude a component from the Spice Netlist add [Spice_Netlist_Enabled] user FIELD set to: N* To reorder the component spice node sequence add [Spice_Node_Sequence] user FIELD and define sequence: 2,1,0* Sheet Name: /U1  Net-_U1-Pad1_ GND d_inverter        v1  Net-_U1-Pad1_ GND pulse        .end",Not Spam
"Dear Sir,Please use ADC and DAC for Digital circuits. ADC at input side and DAC for output side, you can this in eSim_Hybrid. For more information check user manual.",Not Spam
"You can directly copy the python file to ""/usr/local/lib/python2.7/dist-packages/gnuradio"" and copy the xml file to ""/usr/local/share/gnuradio/grc/blocks""",Not Spam
http://forums.fossee.in/question/31/while-creating-up-counter-block-in-python-getting-following-erros-at-cmake/,Not Spam
Now the method has been changed to subtree so no more further submodule update required,Not Spam
You will have to re install it,Not Spam
"Unfortunately, the image processing toolboxes available in Scilab do not have imfill. ",Not Spam
The specifications are listed here http://laptop.fossee.in/specifications. Let me know any exact feature looking for.,Not Spam
"Hi Manik,It seems that the DWSIM version (3.5) you are using appears to have a bug. You can use DWSIM 3.3 instead and re simulate the same problem for correct results.Regards,Rahul Jain.",Not Spam
"Hi,Please go through the link  http://esim.fossee.in/lab-migration-project for lab migration procedure.We will be happy to convert your simulation lab using eSim. ",Not Spam
"Dear Yogi,Please give transient analysis as start time = 0ms, increment = 10ms and stop time = 100ms.",Not Spam
No sir. its not working.i have given the values in .cir.out file. is it correct. still i am getting the same error,Not Spam
"i have done the same process for the example given. there i am getting plots. i have created the same example on my own. i adopted same procedure given in the manual. but i am getting the above said error. in our college we are trying to conduct a course on e sim. please help me to resolve the problem.                                  Thanking you sir,",Not Spam
"Dear Balu,Can you please paste the content of your final file with extension .cir.out. This can be found under your project folder.",Not Spam
"\r\n\r\np, li { white-space: pre-wrap; }\r\n\r\n* /home/eswecha/esim-workspace/projrc/projrc.cir\r\n\r\nr1  in out 1k\r\nc1  out gnd 1u\r\nv1  in gnd sine(0 2 50 0 0)\r\n.tran 0e-00 0e-00 0e-00\r\n\r\n* Control Statements \r\n.control\r\nrun\r\nprint allv > plot_data_v.txt\r\nprint alli > plot_data_i.txt\r\n.endc\r\n.end\r\nNote: I changed the transient analysis values to 0ms 10ms 100ms but I didn't get solution.",Not Spam
i have changed.  am still getting the same error 'Error while opening python plotting Editor'.,Not Spam
You need to install Maxima toolbox for symbolic calculations. ,Not Spam
"Could you give us more information? Toolbox, code and other details.",Not Spam
"Sir/Mam,                     I use NARVAL toolbox for sending route request and route reply, but when I need to drop packets in case of malicious node I couldn't find any functionality that would support this in wired/wireless network.",Not Spam
"Are you using FOSSEE Laptop? Because the kiwix_serve binary will only work on ARM-based machines. Are you running the files from external sdcard? If so, it will not work. Please copy the content to home directory. Sorry, I couldn't duplicate this error at my end, how did you executed the file? Do you have anything else running on localhost? ",Not Spam
"The keyboard layout is Phonetic, you may find a typing layout in the given link: https://fedoraproject.org/wiki/I18N/Indic/HindiKeyboardLayouts#Phonetic_Keyboard_Layout",Not Spam
"If you're using SIVP, please know that it doesn't support dcm format. Try using SIP.",Not Spam
"Hi Vignesh,You can use any version above 3.1. The simulations are same for all the versions, its just that the new versions have more features. The only problem is people have reported some bugs in the new versions. If you face any simulation errors while using version 3.6 you can download version 3.3. Following is the link to download version 3.3. To install it you have to right click on the setup file and select run as administrator (assuming that you are using windows).    https://sourceforge.net/projects/dwsim/files/DWSIM/DWSIM%203.3/DWSIM_bin_v33_b5517_full.exe/download",Not Spam
Sorry but we do not have a solution for your query. You could mail \t\t\t\t\tusers@lists.scilab.org directly or mail the toolbox author.,Not Spam
Sorry but we do not have a solution for your query. Your query was discussed on Scilab users mailing list here- http://mailinglists.scilab.org/Activate-Scilab-MPI-td4033454.htmlPlease mail the Scilab users mailing list if you have any other doubts.,Not Spam
"Dear Pankaj,After generating net file, when u click on footprint editor than a pop-up appears of of yes and no. you have to click on NO than only the components will appear for selection.",Not Spam
"Hi Rahul,I have faced the similar problem. Can we think of adding more data base in upcoming version (or latest version)? I may like to contribute in this direction as well.",Not Spam
You need to use image processing toolbox functions that pertain to image classification and object detection.,Not Spam
"Dear Pankaj,Please use updated version of eSim and still if you facing the problem then you mail the example to us we will solve for you.If you are only designing the PCB then you can directly use the Kicad software.(details for PCB design visit this link http://kicad-pcb.org/)To Contact us - http://esim.fossee.in/contact-us",Not Spam
"Dear Fahim,Sorry for the late communication. please give your mail ID so that I can send  you the file. Thanks in advance.",Not Spam
"Tips to use Equilibrium\r\nreactor \r\n\r\n1. In the flow sheet panel, drag and use the\r\n""Equilibrium reactor"" from the object palette\r\n\r\n2. ""Equilibrium reactor"" requires one inlet\r\nmaterial stream, two outlet material stream (one for liquid and one for vapour)\r\nand one energy stream to be connected to it\r\n\r\n3. Use ""Reaction manager"" under\r\n""Tools"" to create ""Chemical reactions"" and ""Reaction\r\nset"". For example, water gas shift reaction is illustrated. Give stoichiometric coefficients and also choose base component. Enable calculation of equilibrium constant from Gibbs energy of the reaction. 4. The equilibrium reactor can be simulated at three different modes - Isothermal (temperature fixed at inlet stream value), adiabatic or with a temperature (as that of outlet stream). In the present example, isothermal mode if choosen.5. Once all specifications are iven, activate and run (""recalculate"") the simulation The DWSIM simulation illustrating equilibrium reactor with WGS reaction can be found at the following link http://bit.ly/DWSIM-Equilibrium-Reactor-WGS I hope with this tips, you are able to successfully build and develop equilibrium reactorThanksNaren ",Not Spam
"Dear Ankush,Please make sure the source is selected from eSim_Source library.Can you just copy paste the content of your *.cir and *.cir.out",Not Spam
"es) (part ac))\r\n(sheetpath (names /) (tstamps /))\r\n(tstamp 56c7fe0a))\r\n(comp (ref 1k1)\r\n(value r)\r\n(libsource (lib device) (part r))\r\n(sheetpath (names /) (tstamps /))\r\n(tstamp 56c7fe48))\r\n(comp (ref c1)\r\n(value 1u)\r\n(libsource (lib device) (part c))\r\n(sheetpath (names /) (tstamps /))\r\n(tstamp 56c7ff01)))\r\n(libparts\r\n(libpart (lib device) (part c)\r\n(description ""unpolarized capacitor"")\r\n(footprints\r\n(fp c?)\r\n(fp c_????_*)\r\n(fp c_????)\r\n(fp smd*_c)\r\n(fp capacitor*))\r\n(fields\r\n(field (name reference) c)\r\n(field (name value) c))\r\n(pins\r\n(pin (num 1) (name ~) (type passive))\r\n(pin (num 2) (name ~) (type passive))))\r\n(libpart (lib device) (part r)\r\n(description resistor)\r\n(footprints\r\n(fp r_*)\r\n(fp resistor_*))\r\n(fields\r\n(field (name reference) r)\r\n(field (name value) r))\r\n(pins\r\n(pin (num 1) (name ~) (type passive))\r\n(pin (num 2) (name ~) (type passive))))\r\n(libpart (lib esim_sources) (part ac)\r\n(footprints\r\n(fp 1_pin))\r\n(fields\r\n(field (name reference) v)\r\n(field (name value) ac)\r\n(field (name footprint) r1))\r\n(pins\r\n(pin (num 1) (name +) (type input))\r\n(pin (num 2) (name -) (type input)))))\r\n(libraries\r\n(library (logical device)\r\n(uri ""c:\\\\program files (x86)\\\\kicad\\\\share\\\\kicad\\\\library\\\\device.lib""))\r\n(library (logical esim_sources)\r\n(uri c:\\esim\\esim\\kicadschematiclibrary\\esim_sources.lib)))\r\n(nets\r\n(net (code 1) (name out)\r\n(node (ref c1) (pin 1))\r\n(node (ref 1k1) (pin 2)))\r\n(net (code 2) (name in)\r\n(node (ref v1) (pin 1))\r\n(node (ref 1k1) (pin 1)))\r\n(net (code 3) (name gnd)\r\n(node (ref c1) (pin 2))\r\n(node (ref v1) (pin 2)))))\r\n.tran 10e-03 100e-03 0e-03\r\n\r\n* Control Statements \r\n.control\r\nrun\r\nprint allv > plot_data_v.txt\r\nprint alli > plot_data_i.txt\r\n.endc\r\n.end\r\n",Not Spam
